Hashtag	Username	User handle	Date of posting	Text	Retweet count	Like count
#europeansuperleague	Stretford Paddock	@StretfordPaddck	Mon Apr 19 01:54:38 +0000 2021	"how we’ll all be waking up tomorrow 💔
#europeansuperleague https://t.co/DgHxsLJ6ki"	14	283
#europeansuperleague	Pat McAfee	@PatMcAfeeShow	Mon Apr 19 01:44:23 +0000 2021	"Seems like a lot of soccer folks are upset about the #europeansuperleague?!?

I just read their website. Sounds awesome"	45	1413
#europeansuperleague	Ronaldo Brown	@ronaldobrown_98	Mon Apr 19 01:39:50 +0000 2021	"Jamie Vardy’s football career is a perfect microcosm for what football is about, the ever present probability of rags to riches no matter how small the chances may be...

The ramifications of the #europeansuperleague prevent players and clubs from having that right to dream."	21	159
#europeansuperleague	Mari FC	@spanish_vandijk	Mon Apr 19 01:31:35 +0000 2021	Burnley v Real Valladolid in the 2024 UEFA Champions League Final. #europeansuperleague https://t.co/IJm1NmuDof	34	185
#europeansuperleague	God	@GuyJustVibin	Mon Apr 19 01:23:19 +0000 2021	Me after using Lional Massy and Cristian Rondon in Fifa 2022 #europeansuperleague https://t.co/QseKIpBrFi	17	165
#europeansuperleague	Business Man	@GR10Business	Mon Apr 19 01:19:08 +0000 2021	Messi and Ronaldo after moving to West Ham so they can still play in the World Cup #europeansuperleague https://t.co/IUfickBtIV	12	218
#europeansuperleague	BUCKY JR	@Buckylona	Mon Apr 19 01:16:51 +0000 2021	"Every player who participates in the Super League will be banned from participating in any tournament with the national team
Benzema: 
#europeansuperleague #perez #UEFA https://t.co/SOpi3RulCN"	51	544
#europeansuperleague	JT🇨🇲	@j_tchaps	Mon Apr 19 01:14:20 +0000 2021	Germany winning the world Cup every year cause they have the whole bayern and dortmund team #europeansuperleague https://t.co/1zJZj0j4MC	20	249
#europeansuperleague	FUT Stephen A	@FutStephenA	Mon Apr 19 01:11:20 +0000 2021	Gonna buy this Dortmund jersey just out of respect for not them joining the European Super League. German teams respect their fans, might have to watch more Bundesliga 🇩🇪🇩🇪🇩🇪#europeansuperleague https://t.co/YFza1FwzmV	9	154
#europeansuperleague	Business Man	@GR10Business	Mon Apr 19 01:02:00 +0000 2021	Me in 50 years when kids say Messi and Ronaldo were overrated cause they didn't do it in the Super League #europeansuperleague https://t.co/NqJSjNel7q	260	1754
#europeansuperleague	𝑺𝒉𝒂𝒉𝒂𝒅 𝑭𝒂𝒉𝒂𝒅⚔️	@shahadfah1995	Mon Apr 19 00:58:27 +0000 2021	"#europeansuperleague

This man is Gabriel Hanot , he came with the idea of UEFA Champions League.

Thank you , sir https://t.co/aJl4mkf90n"	16	321
#europeansuperleague	Trinity👑	@ITrinny	Mon Apr 19 00:58:08 +0000 2021	For any football fan disappointed in their club for selling out and joining the super league, don't worry you can always support PSG from now on and nobody will blame you 💙❤🤍 #europeansuperleague https://t.co/wGFS6p5ww2	0	111
#europeansuperleague	Johnnyjustcum🤐💥	@john_utang	Mon Apr 19 00:54:09 +0000 2021	Bayern when they realize they will face Arsenal in the uefa super league #europeansuperleague https://t.co/KdXup1pgiw	18	303
#europeansuperleague	Imad🥤	@yxngxr1_	Mon Apr 19 00:53:15 +0000 2021	Messi and Ronaldo when they meet in every super league final for the next 35 years #europeansuperleague https://t.co/RexPU7H7nl	95	1066
#europeansuperleague	𝓑𝓪𝓻𝓽𝓸𝓼𝔃♠️🇵🇱	@BSTBLU	Mon Apr 19 00:52:57 +0000 2021	Arsenal Fans trying to figure out How they got in the SuperLeague after Drawing to Fulham and being 9th #arsenal #europeansuperleague https://t.co/D5ZNPKTV4D	17	163
#europeansuperleague	Milkydinho 🅙	@FUTMilkydinho	Mon Apr 19 00:52:04 +0000 2021	"Looking forward to Season 5 of Money Heist 🙂

#europeansuperleague https://t.co/s5VLWsKjLm"	18	138
#europeansuperleague	FUT Stephen A	@FutStephenA	Mon Apr 19 00:50:12 +0000 2021	Leicester City in the Premier League next season #europeansuperleague https://t.co/R7GOiDDOKw	16	149
