Hashtag,Summary,Average Rating
#BETRemembersDMX,Former rap artist DMX recently passed away and BET is a tv station that focuses on rap and R&B music and they're featuring him for all the music he has made while he was alive.,4.0
#ArmenianGenocide,#Armeniangenocide,2.3333333333333335
#BETRemembersDMX,"To honor the life of DMX, BET televised and streamed “BET REMEMBERS DMX”",4.0
#DOYOUNG,great,2.3333333333333335
#marshelicopter,marshelicopter is on trend because it is the first drone to fly to mars. It is incredible that we have managed to fly a drone miles away from the earth,4.333333333333333
#dogecoin,is a cryptocurrency easy investment profit for everyone,4.666666666666667
#supermoon,"Because a full ""pink"" supermoon will illuminate the sky tonight. Monday's supermoon has a tide-shifting twist.",4.0
#dogecoin,"Dogecoin, a meme cryptocurrency, recently saw a skyrocket in value after Elon Musk dubbed himself the ""Dogefather"" and promoted the currency. Although it started out as a joke, it is now a true competitor to Bitcoin.",5.0
#europeansuperleague,European super league is in regards to the Football games that are held around this time every year.,4.333333333333333
#dogecoin,Elon Musk talked about dogecoin,3.6666666666666665
#dogecoin,ssasd,2.0
#europeansuperleague,#europeansuperleague,2.3333333333333335
#ArmenianGenocide,President Joe Biden is being applauded for recognizing the Armenian Genocide.,4.333333333333333
#DOYOUNG,Kim Doyoung who is a korean popstar came out with a new album.,4.0
#GEICO500,"The GEICO 500 is a NASCAR Cup Series stock car race held at the Talladega Superspeedway in Lincoln, Alabama. The race is usually held in April or May.",4.333333333333333
#BETRemembersDMX,BET aired a show honoring the legend DMX,3.3333333333333335
#BETRemembersDMX,funeral event will serve as the final greeting to rapper DMX who died on April 9 at just 50 years old.,3.3333333333333335
#supermoon,supermoon is the coincidence of full moon with the shortest distance between earth and moon. This means that the moon is seen much larger than usual and therefore many people are interested in seeing and photographing it,4.0
#europeansuperleague,#europeansuperleague,3.3333333333333335
#DaunteWright,He was a black man who was killed by the police. Civil rights activists and celebrities are saying his name so he isn't forgotten.,3.6666666666666665
#europeansuperleague,European football clubs to break away from UEFA and start their own competition in 2021,4.666666666666667
#marshelicopter,"In March helicopter was launched to mars, and successfully completed its missions",4.0
#supermoon,#supermoon,1.3333333333333333
#dogecoin,Dogecoin has become a more used open source peer-to-peer cryptocurrency option. Billionaire Elon Musk thinks dugecoing is pretty cool and his company and dogecoin have been talkng. Millions of coins have been transacted in dogecing in an hour in the last 24 hours,4.333333333333333
#supermoon,Tuesday night's supermoon is the first of several for 2021.,4.333333333333333
#marshelicopter,sesds sdsdds ds sdsds,2.3333333333333335
#DOYOUNG,#DOYOUNG,2.3333333333333335
#GEICO500,GEICO is hosting some special sales events for their services.  New customers can get some great rates on special deals too.,4.333333333333333
#GEICO500,Because it gives more attention,3.3333333333333335
#ArmenianGenocide,"systematic killing, ethnic cleansing, Armenian Massacre",4.666666666666667
#ArmenianGenocide,zz sdssdwf feerge efer  erees se e,1.6666666666666667
#myanmar,#myanmar,3.6666666666666665
#GEICO500,This is a Nascar event. It is happening at Talledega. It is a super speedway.,4.0
