Hashtag,Username,User handle,Date of posting,Text,Retweet count,Like count
#BETRemembersDMX,mrs O,@Whiskeytagofox,Mon Apr 26 10:24:07 +0000 2021,"Ah yes 5am back squats. We meet again 
#MakeItHappen 
#BETRemembersDMX 
#MondayMotivaton 
#crocsforthewin https://t.co/jHNi8n5sFp",1,73
#BETRemembersDMX,Danielle Farrakhan,@MrsFarrakhan,Mon Apr 26 04:25:12 +0000 2021,I love seeing all the love The Minister is getting today. Let us all shower him with love every day and night for all time! He is our mercy. #Farrakhan #BETRemembersDMX,2,33
#BETRemembersDMX,DJVINCE1 The PhatKat,@DJVINCE1,Mon Apr 26 01:52:26 +0000 2021,"The #RuffRyders Chronicles on @BET was incredible, what a great story!! #BETRemembersDMX https://t.co/nK71a19Coi",13,78
#BETRemembersDMX,Ruth McDougal,@LLCool_Ayee,Mon Apr 26 01:45:09 +0000 2021,Damn seeing DMX on this Ruff Ryders chronicles is bittersweet 🥺 #BETRemembersDMX,6,85
#BETRemembersDMX,Remind Me To Tell You Podcast,@RMTTYPodcast,Mon Apr 26 00:58:18 +0000 2021,"Thank you, @BET, for playing Exit Wounds, Ruff Ryders: Chronicles and all of the @DMX coverage for his Homegoing Ceremony today! #RIPDMX #BETRemembersDMX https://t.co/dhP1OUqzYv",16,87
#BETRemembersDMX,Nikkibaby 🇯🇲,@ohsoyournikki,Sun Apr 25 23:16:28 +0000 2021,I was pissed that the church was painting dmx mom like she was a church going saint. She abused him and sent him away cause she didn’t want him. He spoke about it in every single album. How he hated his childhood and didn’t have any love from his mom. #BETRemembersDMX,9,37
#BETRemembersDMX,Anita Faker,@MovesLikeRoy,Sun Apr 25 23:13:29 +0000 2021,"Babyyy, DMX’s fune was everything I love about a black fune. 

It was emotional, celebratory, and full of mess! 

#BETRemembersDMX https://t.co/hl3JyOuAeO",3,42
#BETRemembersDMX,Tony Triumph,@TonyTriumph10,Sun Apr 25 23:11:34 +0000 2021,"I know you’re hurting bruh, but there’s decency and there’s order homie...that pastor was about to get you hemmed up in church...😬

#BETRemembersDMX #dmx #dmxfuneral https://t.co/iDGNK5620A",11,58
#BETRemembersDMX,B-Trigger💀,@_Bryahn,Sun Apr 25 23:09:59 +0000 2021,"Yo Faith Evans done crossed the line on horrible-ness. Like tf? How much worse can a song performance get?

#BETRemembersDMX https://t.co/NTXxvuR7hr",3,31
#BETRemembersDMX,AltDaz,@alt_daz,Sun Apr 25 23:06:38 +0000 2021,"#BETRemembersDMX #DMX #DMXMemorial #DMXfuneral #DMXCelebrationOfLife #DMXforever

We should be thinking about #Jungle who  was embarrassed on a global basis yet is feeling sad about the death of his childhood friend - @DMX.

The pastor should have let him speak for 3 minutes. https://t.co/Yivo8SCFfl",5,41
#BETRemembersDMX,Anita Faker,@MovesLikeRoy,Sun Apr 25 23:05:57 +0000 2021,"Jungle got up on that stage at the fune trying to get his moment to speak like a side piece would do... 

#BETRemembersDMX https://t.co/JWt3iu7i3N",2,35
#BETRemembersDMX,Kyles,@lilginapamish,Sun Apr 25 23:04:23 +0000 2021,"Faith Evans is the next sister we need to be praying for before it doesn't end well..

#BETRemembersDMX",4,40
#BETRemembersDMX,Anita Faker,@MovesLikeRoy,Sun Apr 25 23:02:34 +0000 2021,"Live look outside DMX’s fune as Jungle  gets beat down by the entire Ruff Ryders for jumping up on that stage being disrespectful. 

#BETRemembersDMX https://t.co/O1G73LEZeH",9,38
#BETRemembersDMX,✊🏾,@BeeFromDaSouth,Sun Apr 25 22:55:30 +0000 2021,"Ladies and gentlemen...Jungle.
We don't know why you were left out of the program but I hope that it doesn't allow your heart to grow bitter at those who made the program😭
#Jungle #BETRemembersDMX. #DMXCelebrationOfLife #dmxfuneral https://t.co/4iVX3ZP3qD",9,54
#BETRemembersDMX,Auntieee,@pounddcaake,Sun Apr 25 22:55:06 +0000 2021,Baby Mr. Jungle was about to tell allll the damn business. They took you out the program for a reason sir #BETRemembersDMX #dmxfuneral,5,34
#BETRemembersDMX,philip lewis,@Phil_Lewis_,Sun Apr 25 22:53:24 +0000 2021,Definitely have seen moments like this at funerals before #BETRemembersDMX https://t.co/AZqtQ0XfIQ,95,329
#BETRemembersDMX,J.B. Ricks Sr.,@JB_Ricks,Sun Apr 25 22:52:37 +0000 2021,Never seen a memorial service like that before &amp; @DMX was worth every minute of it. What a celebration of life that was. Rest easy in Heaven to the Dog. Thank you @BET for sharing that experience with the world. He’s gone but will NEVER be forgotten. #BETRemembersDMX #RIPDMX,16,96
#BETRemembersDMX,Dr Asha,@DoctorAsha,Sun Apr 25 22:52:25 +0000 2021,The funeral might have been everything DMX represented; complicated with a lot of Jesus with equal amounts of hood and confusion but all love. #BETRemembersDMX 👏🏽👏🏽👏🏽,37,136
#BETRemembersDMX,Von,@_V0NZW0RLD,Sun Apr 25 22:52:16 +0000 2021,This is what happens when you let @BET air a funeral. DMX deserved better 🤦🏽‍♂️ #BETRemembersDMX https://t.co/R1YfS9SLrO,23,90
#BETRemembersDMX,BET Music,@BETMusic,Sun Apr 25 22:51:52 +0000 2021,A legend who will live in our hearts forever  ❤️#BETRemembersDMX (GIF via @GIPHY) https://t.co/7ngGEFPubg,208,1123
#BETRemembersDMX,Big Prrtt 💦,@PlatanoYRoti,Sun Apr 25 22:51:46 +0000 2021,"It’s so much to unpack 😭 Faith clearly drunk, The kids getting bulletproof vests, the pastor saying “he fell in love with me” &amp; the petty pastors prayer 😭 fix it Jesus #BETRemembersDMX https://t.co/IJ9OMOuAlu",6,31
#BETRemembersDMX,LOOK at My OPPONENT🗣🗣🗣🗣🗣,@IssaTrillnigga_,Sun Apr 25 22:51:29 +0000 2021,Jungle - Y’all CUT ME OUT THE PROGRAM The pastor - #BETRemembersDMX  #dmxfuneral https://t.co/5QHcC2ksd4,21,49
#BETRemembersDMX,Marlon Harrison,@North2013,Sun Apr 25 22:50:51 +0000 2021,Thank you BET for showing DMX's funeral and thank you Black Twitter for keeping me entertained as usual #BETRemembersDMX #DMXMemorial https://t.co/Rv9nlYk8oU,18,96
#BETRemembersDMX,Okevia,@GApeach2VAlover,Sun Apr 25 22:50:48 +0000 2021,DMX got multiple children by several women who did NOT act crazy yet this guy show off😲🙄😲#BETRemembersDMX,7,42
#BETRemembersDMX,Shekelia,@skilledswag,Sun Apr 25 22:50:43 +0000 2021,Y’all send me Jungle Twitter info. I will hear him tell his story that he never got to tell DMX but last year told DMX 😂   #BETRemembersDMX,10,54
#BETRemembersDMX,Yves St. Lovabyl,@LoveMeLOVABYL,Sun Apr 25 22:48:39 +0000 2021,Everybody saying that the Pastor is shady for sitting dude down forgetting that he is the SHEPARD OF THE HOUSE! ITS HIS HOUSE and bruh man WAS OUT OF ORDER! Now bow ya heads it's time for benediction #BETRemembersDMX https://t.co/b9OlvzMOvh,5,40
#BETRemembersDMX,Elle Dubé,@misizdubs,Sun Apr 25 22:48:32 +0000 2021,"Pastor said, “Thank God I didn't have to go B.C. (before Christ). I wasn't always a pastor... #BETRemembersDMX https://t.co/Ws1TeAeJLE",6,58
#BETRemembersDMX,Whitty Huton Wuld Toor,@theteaisbyme,Sun Apr 25 22:47:48 +0000 2021,"This funeral was everything a black fune is. We all know it can be sad, funny, shady and somebody gotta be asked to chill the hell out. We all go and talk about the foolishness at the repast. It is what it is.  #BETRemembersDMX https://t.co/ITMC7aZREU",6,30
#BETRemembersDMX,Auntieee,@pounddcaake,Sun Apr 25 22:47:43 +0000 2021,Now we know who Swizz was talking about yesterday #BETRemembersDMX #dmxfuneral https://t.co/AfsvnCTf4L,16,107
#BETRemembersDMX,barbara,@barbaradrinkwat,Sun Apr 25 22:47:31 +0000 2021,That was a black funeral for real  baby live  and in color #BETRemembersDMX https://t.co/XnvtrbN4UE,14,60
#BETRemembersDMX,nae. 🤎,@_Jxnae,Sun Apr 25 22:47:20 +0000 2021,"The pastor just sat that man down in the most holy way, said a whole prayer for him, then ended saying he was glad he didn’t have to go B.C. today 💀 If this ain’t a black funeral #BETRemembersDMX",13,53
#BETRemembersDMX,Lynda Starr 🇭🇹,@LyndaStarrMusic,Sun Apr 25 22:47:16 +0000 2021,That guy Jungle was a physical representation of the enemy trying to steal joy... from jump his energy was NOT right and I’m glad the Pastor prayed for him #BETRemembersDMX,5,34
#BETRemembersDMX,🌌⋆💜𝑫𝒂𝒓𝒍𝒊𝒏𝒈 𝑵𝒊𝒌𝒌𝒊💜⋆🌌,@Miss_Lady_Diva2,Sun Apr 25 22:47:14 +0000 2021,"""I was not born a pastor"" = run up if you want to...
#BETRemembersDMX https://t.co/wAKiagiE8H",5,34
#BETRemembersDMX,Symone Tenae',@TenaeVsMonie,Sun Apr 25 22:47:12 +0000 2021,It's always that ONE NIGGA smdh #BETRemembersDMX https://t.co/rINCjj1UFa,11,28
#BETRemembersDMX,Cicely  C. Mitchell,@CicelyMitchell,Sun Apr 25 22:46:37 +0000 2021,“I wasn’t born a pastor”...-A.R. Bernard- #BETRemembersDMX https://t.co/YMlHng12BT,7,64
#BETRemembersDMX,juanita,@ics_jua,Sun Apr 25 22:46:30 +0000 2021,The pastor is praying for the bestfriend. I’m weak. 😭 #BETRemembersDMX #dmxfuneral https://t.co/PEciLfUYKL,6,36
#BETRemembersDMX,Bean♌,@Gueits87,Sun Apr 25 22:46:26 +0000 2021,The pastor said nope NOT TUH DAY 🤣#BETRemembersDMX https://t.co/sJpbtyBjd2,6,37
#BETRemembersDMX,Jeff,@JeffJSays,Sun Apr 25 22:46:08 +0000 2021,"“Thank God I didn’t have to go BC today. That’s “before Christ”. 

Pastor ready for SMOKE?! 😭 #BETRemembersDMX",20,81
#BETRemembersDMX,DosesofDrea,@DosesofDrea,Sun Apr 25 22:45:59 +0000 2021,When Jungle stormed the stage I know DMX in heaven like... #BETRemembersDMX https://t.co/1F2Jxoqb2O,30,177
#BETRemembersDMX,I AM KIARA,@OriginalFox_,Sun Apr 25 22:45:55 +0000 2021,"DMX’s funeral has turned GHETTO😩😭 The pastor and DMX’s childhood friend are going at it😭

This is where I exit stage left✌🏾

#BETRemembersDMX 
#RIPDMX https://t.co/F642bZHSCy",22,83
#BETRemembersDMX,The Official Destiny Jasmine ✨,@Adore_dess,Sun Apr 25 22:45:37 +0000 2021,This really happened 😂😂😂 #BETRemembersDMX https://t.co/0Pcfzgzpn1,95,235
#BETRemembersDMX,Rachel.,@_loveRachel_,Sun Apr 25 22:45:16 +0000 2021,The service prob should’ve ended w/ Tashera cause everything after took a SHARP left. #BETRemembersDMX,8,43
#BETRemembersDMX,Auntieee,@pounddcaake,Sun Apr 25 22:45:13 +0000 2021,Mr. Pastor gathered him right on up #BETRemembersDMX #dmxfuneral https://t.co/uqwrgJbo6G,20,188
#BETRemembersDMX,ISaidWhatISaiddd,@Truthspeaker305,Sun Apr 25 22:44:58 +0000 2021,So moral of this story. DMX had a lot of clout chasers around him who really didn’t care until he died. Chile #BETRemembersDMX,2,39
#BETRemembersDMX,Whitty Huton Wuld Toor,@theteaisbyme,Sun Apr 25 22:44:55 +0000 2021,Pastor shading ole boy and the 5 hour funeral who just wanted his Lil Mama moment... #BETRemembersDMX https://t.co/7JScUSx4qE,7,32
#BETRemembersDMX,♊️Nene P.,@Nene_689,Sun Apr 25 22:44:51 +0000 2021,The Pastor said 😂🤣😂🤣 #BETRemembersDMX https://t.co/JeaxMtAWYU,7,32
#BETRemembersDMX,Keisha Allen,@Hey_MissKeisha,Sun Apr 25 22:44:36 +0000 2021,"🥴 Pastor said, not in my house! #BETRemembersDMX https://t.co/NKcT5jDTZI",10,55
#BETRemembersDMX,La Shawn,@LaShawnSmallBiz,Sun Apr 25 22:44:33 +0000 2021,Jungle...it wasn't the time. DMX and the family knows your heart. Everyone has a special relationship with X. #BETRemembersDMX,12,52
#BETRemembersDMX,BRI $$$.,@MINAJMEETDAWOO,Sun Apr 25 22:44:30 +0000 2021,NOT THE PASTOR PRAYING FOR THE MAN IM WEAKKK YALLLLLL #BETRemembersDMX,5,26
#BETRemembersDMX,Jay Hess,@LadyJBoogie,Sun Apr 25 22:44:27 +0000 2021,Pastor said what you not finna do #BETRemembersDMX https://t.co/9bz3kHgKJ9,12,83
#BETRemembersDMX,She IsAble,@blueladybug22,Sun Apr 25 22:44:20 +0000 2021,"So when #swizzbeatz was telling y'all about writing wills....I'm gonna need y'all to include directions for the funeral.  🤦🏽‍♀️ We love you DMX!
#BETRemembersDMX",17,54
