Hashtag,Username,User handle,Date of posting,Text,Retweet count,Like count
#DOYOUNG,SM_NCT,@SM_NCT_BACKUP,Mon Apr 19 02:26:34 +0000 2021,"[INFO] 210419 #DOYOUNG will make his musical debut in “Marie Antoinette”, scheduled to open in July 

#NCT #NCT127
Translated by @lumarkbot - SM_NCT
https://t.co/SbAqSyrZxk https://t.co/RFdbsj3PCL",538,1315
#DOYOUNG,⚜️,@kdyactor,Mon Apr 19 02:22:44 +0000 2021,"Marie Antoinette is scheduled to be performed from July to October of this year at the Charlotte Theater.

Doyoung will not perform every show, most likely it will be on a rotational basis with 1-2 other actors who will also play the same role. 

 #마리앙투아네트 #DOYOUNG #도영 https://t.co/g2gHpI6LlI",113,212
#DOYOUNG,Doyoung Project Indonesia,@DoyoungProject,Mon Apr 19 02:17:02 +0000 2021,"So happy for Musical Actor Doyoung debut soon 💚💙🥺

Doyoung fighting! Dozennie let’s continue to support him in every step he’ll take ✨
#NCT도영 #도영 #DOYOUNG
@NCTsmtown_127 https://t.co/D8YkKDEBJH",67,188
#DOYOUNG,hourly doyoung,@HourlyDoyoung,Mon Apr 19 02:00:00 +0000 2021,"DOYOUNG MUSICAL ACTOR 

#NCT도영 #도영 #DOYOUNG
@NCTsmtown_127 
https://t.co/h5e2YlIZTc",294,493
#DOYOUNG,DOYOUNG RECORD,@doyoungrecord,Mon Apr 19 01:45:51 +0000 2021,"Doyoung is now trending on 9 locations:

#1 Indonesia (DOYOUNG MUSICAL ACTOR)
#6 Singapore
#7 Malaysia
#8 United States
#8 Philippines (DOYOUNG MUSICAL ACTOR)
#16 Peru
#17 UAE
#24 Worldwide (DOYOUNG MUSICAL ACTOR)
#26 Argentina (DOYOUNG MUSICAL ACTOR)

#DOYOUNG #도영 https://t.co/gXsrvrKhen",85,178
#DOYOUNG,`sof,@DOIEWOODZ_,Mon Apr 19 01:42:14 +0000 2021,"look at him being so happy about the news and being excited in trying something new. he'll be practicing hard and he knows that fans have faith in him. i know you can do it doyoung-ah~ im  proud of you already 🥺

DOYOUNG MUSICAL ACTOR 
#NCT도영 #도영 #DOYOUNG
@NCTsmtown_127 https://t.co/Z3alI4tdNr",118,308
#DOYOUNG,doyoung musical actor²⁶,@xoxoxodoie,Mon Apr 19 01:34:31 +0000 2021,"https://t.co/MD2WpOnrZN

People saw this and was waiting for him to act and then he debuted as an actor and now he is a lead actor for a musical 😉 

DOYOUNG MUSICAL ACTOR 
#NCT도영 #도영 #DOYOUNG
@NCTsmtown_127",131,340
#DOYOUNG,𝐤𝐝𝐲.,@doyounglobal,Mon Apr 19 01:23:43 +0000 2021,"NCT #DOYOUNG debuts musical with 'Marie Antoinette'

This is the first meaningful musical challenge. As a result of news culture coverage, DY has been cast as Axel von Fergen in the musical scheduled to open in July.

🔗https://t.co/ToENfaEZKN

#NCT도영 #도영 https://t.co/Gcl1l67fVD",895,1859
#DOYOUNG,nelle♡,@doiesense,Mon Apr 19 01:20:55 +0000 2021,"NOW IF DOYOUNG WEAR THIS?!?!? IM GONNA DWORD

DOYOUNG MUSICAL ACTOR 
#NCT도영 #도영 #DOYOUNG
@NCTsmtown_127 https://t.co/DF67J3COFi",122,402
#DOYOUNG,hourly doyoung,@HourlyDoyoung,Mon Apr 19 01:14:05 +0000 2021,"Retweet and Reply 

DOYOUNG MUSICAL ACTOR 

#NCT도영 #도영 #DOYOUNG
@NCTsmtown_127",261,191
#DOYOUNG,‏ً,@kdyfiles,Mon Apr 19 01:10:44 +0000 2021,"RETWEET and REPLY multiple times!

DOYOUNG MUSICAL ACTOR
#DOYOUNG #도영",475,348
#DOYOUNG,Doyoung Singing,@doievocals,Mon Apr 19 01:09:38 +0000 2021,"Doyoung musical debut, we all knew it was coming. Doyoung musical actor, so proud of you💙

#NCT도영 #도영 #DOYOUNG
https://t.co/9kQW5YTSm5",319,640
#DOYOUNG,⚜️,@kdyactor,Mon Apr 19 01:08:38 +0000 2021,"The lead role of Axel von Fersen has been previously played by NU’EST’s Hwang Minhyun, VIXX’s Leo, and Park Kyung-han in 2019.

 #마리앙투아네트 #DOYOUNG #도영 https://t.co/IqTMOjblvU",119,343
#DOYOUNG,竜ryu,@nct_127,Mon Apr 19 00:57:40 +0000 2021,"DOYOUNG MUSICAL ACTOR 
#NCT도영 #도영 #DOYOUNG
@NCTsmtown_127",153,254
#DOYOUNG,⚜️,@kdyactor,Mon Apr 19 00:22:14 +0000 2021,"Doyoung’s next acting challenge; he’ll be in the musical Marie Antoinette playing Axel von Fersen who is suffering from a tragic fate and falls in love with Marie Antoinette.

He’ll assume the role in July.

#DOYOUNG #도영 https://t.co/CRYKUP0olo",218,396
#DOYOUNG,NCT Global Streaming Team,@NctGlobalStream,Mon Apr 19 00:20:37 +0000 2021,"#DOYOUNG Will start his Debut as an musical actor with Drama Musical “Marie Antoinette”. This drama musical will start in the july. He will have a role as axel von fersen

Actor doyoung comeback faster than we think 😍 #NCT https://t.co/n7nhjzEc31",219,401
#DOYOUNG,모치도비♡,@mochidobby,Sun Apr 18 14:44:22 +0000 2021,"his dance moves are so smooth and full of emotions yet very precise that gives a whole new level of impact doyoung is indeed a dance prodigy 

#트레저도영 #DOYOUNG @treasuremembers https://t.co/JIrZ00IrX5",99,226
#DOYOUNG,ㅍㅇ ❀,@haemjjitokki,Sun Apr 18 14:32:55 +0000 2021,"precious man with a precious smile 

#도영 #DOYOUNG #NCT_DOYOUNG https://t.co/hlUqD2B38B",83,173
#DOYOUNG,ghinghinᝰ໋᳝݊ doy edit📌,@adorabledoyy,Sun Apr 18 13:21:24 +0000 2021,#DOYOUNG American boy ࿂ ໋᳝֘·⋆˚》 https://t.co/8IHHXTUGP9,212,593
#DOYOUNG,SM_NCT,@SM_NCT_BACKUP,Sun Apr 18 03:59:39 +0000 2021,"[OFFICIAL/TRANS] 210418 #DOYOUNG’s Instagram story update

- “Hop”
- “Hop”

(T/N: ‘폴짝폴짝’ is like a mimetic word for ‘hopping’.)

#NCT #NCT127
Translated by @wangmoriz - SM_NCT
https://t.co/C2dRY7WBQS https://t.co/QICntxcplx",359,1585
#DOYOUNG,링,@nctdaoying,Sun Apr 18 03:59:27 +0000 2021,"210418 Doyoung’s Instagram Story

Jump
ing

#DOYOUNG #도영 https://t.co/XK76YaDSQ1",430,1221
#DOYOUNG,SMTownEngSub,@SMTownEngSub,Sun Apr 18 01:10:00 +0000 2021,"Top 10 Most Followed SM Male Artists on Instagram (Apr.11-17)

#1 #Shotaro (+1M followers)
#2 #Taeyong
#3 #Mark
#4 #Doyoung
#5 #Minho
#6 #Jaemin
#7 #Ten
#8 #Lucas
#9 #Jaehyun
#10 #Kai https://t.co/LrlSIa2tVh",484,1536
#DOYOUNG,Doyoung Project Indonesia,@DoyoungProject,Sat Apr 17 16:10:14 +0000 2021,"✨DOYOUNG 2nd SOLO ONLINE CONCERT: Your Heart My Heart 2.0

Thank u for all the love &amp; appreciation to Doyoung 🥰🐰
✅Indonesia trends No.6 &amp; 7
✅Total listeners 64,406
✅Sold 13,717 tickets

Let’s keep supporting Doyoung 💙💚

#DOYOUNG 
#YourHeartMyHeart2 #DoyoungOnlineConcert https://t.co/sidHyntP3e",118,279
#DOYOUNG,Doyoung Project Indonesia,@DoyoungProject,Sat Apr 17 16:05:57 +0000 2021,"✨𝒟𝑜𝓎𝑜𝓊𝓃𝑔 𝟧𝓉𝒽 𝒟𝑒𝒷𝓊𝓉 𝒜𝓃𝓃𝒾𝓋𝑒𝓇𝓈𝒶𝓇𝓎✨

DOYOUNG 2nd SOLO ONLINE CONCERT
""Your Heart My Heart 2.0""

THANK YOU💙
Walaupun masih banyak kekurangan, we hope everyone still enjoy it

See you next time ✨
#DOYOUNG 
#YourHeartMyHeart2 #DoyoungOnlineConcert https://t.co/6VqxFYHnmp",142,470
#DOYOUNG,DOYOUNG INDONESIA,@KDY_INA,Sat Apr 17 15:15:57 +0000 2021,"[!!!] DOYOUNG 2nd SOLO ONLINE CONCERT ""Your Heart My Heart 2.0""

LIVE NOW ON MIXL!
🔗https://t.co/QZwaawprcA

Drop HT kalau kalian ikutan💙
#YourHeartMyHeart2 #DoyoungOnlineConcert
#DOYOUNG #도영 #NCT도영 https://t.co/psHNgvuq9S",45,159
#DOYOUNG,kitin🌠,@christinecnn,Sat Apr 17 14:21:40 +0000 2021,"Aight, I'm gonna try to make thread for the playlist

HARD FOR ME

#DOYOUNG #도영 #NCT도영 #YourHeartMyHeart2 #DoyoungOnlineConcert",117,213
#DOYOUNG,🇮🇩 NCT INDONESIA (Back-Up) 💚✨,@NCT_INDONESIA62,Sat Apr 17 14:11:15 +0000 2021,"[OFFICIAL] 210417 #DOYOUNG (do0_nct) instagram update 🐰💚

""&amp; malam 🌛""

🔗https://t.co/wBEqgDS4fT

🍟 #NCT127 @NCTsmtown_127 https://t.co/tEDYGDl6Di",31,397
#DOYOUNG,nctybase,@nctyzenbase,Sat Apr 17 14:11:03 +0000 2021,"[OFFICIAL] 210417 #DOYOUNG Instagram Update 💚🐰

&amp; Malam🌛

🔗https://t.co/JoSBUEH3t8

#NCT #NCT127 
@nctyzenbase @nctyzenbase_ 
🦁 https://t.co/MJtNZEIK7V",28,262
#DOYOUNG,SM_NCT,@SM_NCT_BACKUP,Sat Apr 17 14:07:12 +0000 2021,"[OFFICIAL] 210417 #DOYOUNG’s Instagram update

“&amp; Night🌛”

#NCT #NCT127
https://t.co/dvCoGBB5Js https://t.co/mAuGiZNdxa",1243,5420
#DOYOUNG,Doyoung Project Indonesia,@DoyoungProject,Sat Apr 17 13:58:00 +0000 2021,"✨It’s Live now!

Don’t forget use the hashtag when you hype the concert on twitter 🐰😆💙💚

#DOYOUNG 
#YourHeartMyHeart2 #DoyoungOnlineConcert https://t.co/yMh6XkIQxD",90,191
#DOYOUNG,Doyoung Project Indonesia,@DoyoungProject,Sat Apr 17 13:56:17 +0000 2021,"✨𝒟𝑜𝓎𝑜𝓊𝓃𝑔 𝟧𝓉𝒽 𝒟𝑒𝒷𝓊𝓉 𝒜𝓃𝓃𝒾𝓋𝑒𝓇𝓈𝒶𝓇𝓎✨

DOYOUNG 2nd SOLO ONLINE CONCERT
""Your Heart My Heart 2.0""

LIVE NOW ON MIXL!
🔗Click here: https://t.co/vBSpdBYlOl

#DOYOUNG #도영 #NCT도영 
#YourHeartMyHeart2 #DoyoungOnlineConcert https://t.co/JFCVDDGhJf",225,489
#DOYOUNG,NCT 127 Fan Union,@NCT127Union,Sat Apr 17 13:34:33 +0000 2021,"210417 do0_nct Instagram Update 

“Day 🌿”

🔗https://t.co/idsYeh6DfU

#NCT127 #DOYOUNG @NCTsmtown_127 https://t.co/ZAIekduZA6",25,164
#DOYOUNG,라임하루 limeharu,@ncthall,Sat Apr 17 13:30:44 +0000 2021,"210417 do0_nct IG

Day 🌿

https://t.co/zzusvTR4D3

#도영 #DOYOUNG #NCT #NCT127 @NCTsmtown @NCTsmtown_127 https://t.co/JMBM2PfKsp",92,215
#DOYOUNG,NCT PLAYGROUND 🌈,@NCT_PLAYGROUND,Sat Apr 17 13:29:04 +0000 2021,"[📸] 210417 do0_nct instagram update

“Day🌿”

🔗https://t.co/vaS3VaWYCt

#NCT #NCT127 #DOYOUNG #도영 https://t.co/GIP1at3LsC",283,187
#DOYOUNG,🇮🇩 NCT INDONESIA (Back-Up) 💚✨,@NCT_INDONESIA62,Sat Apr 17 13:22:31 +0000 2021,"[OFFICIAL] 210417 #DOYOUNG (do0_nct) instagram update 🐰💚

""Hari 🌿""

🔗https://t.co/26B84dHujA

🍟 #NCT127 @NCTsmtown_127 https://t.co/njpk3Bq9dB",43,517
#DOYOUNG,SM_NCT,@SM_NCT_BACKUP,Sat Apr 17 13:19:27 +0000 2021,"[OFFICIAL] 210417 #DOYOUNG’s Instagram update 

""Day 🌿"" 

#NCT #NCT127
https://t.co/nBAMfldSbP https://t.co/1MNa3BC5xT",1207,6016
#DOYOUNG,nctybase,@nctyzenbase,Sat Apr 17 13:14:31 +0000 2021,"[OFFICIAL] 210417 #DOYOUNG Instagram Update 💚🐰

Day 🌿

🔗https://t.co/PKerpLCr5E

#NCT #NCT127 
@nctyzenbase @nctyzenbase_ 
🐨 https://t.co/51ROdzQ5wg",36,347
#DOYOUNG,ً,@uridoie,Sat Apr 17 12:14:28 +0000 2021,introducing nct's #DOYOUNG https://t.co/EheH7UMAL7,122,222
#DOYOUNG,dila`,@harucoldw,Sat Apr 17 11:50:16 +0000 2021,"#DOYOUNG 🐰 : HELP ME ｡⋆｡⋆｡⋆
˗ˏ✎  𝘬𝘪𝘮 𝘥𝘰𝘺𝘰𝘶𝘯𝘨 𝘢𝘴 𝘶𝘳 𝘥𝘢𝘪𝘭𝘺 𝘭𝘪𝘧𝘦 —🌥️ https://t.co/hHScV8OSIj",96,203
#DOYOUNG,eunnmi ²³ | 도영📌,@doeihyunfan,Sat Apr 17 10:53:01 +0000 2021,"#DOYOUNG
Look for the smile:

🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁🙁

couldn't find it? open the thread",63,126
#DOYOUNG,🌻,@jjongjungssi,Sat Apr 17 08:21:32 +0000 2021,"Introducing #NCT's 96 line

#KUN #쿤 #DOYOUNG #도영 #TEN #텐 https://t.co/baro9WbZHW",462,797
#DOYOUNG,모치호☁,@169cm_mashiho,Sat Apr 17 08:04:52 +0000 2021,"memories of 🐰🐹
#MASHIHO #DOYOUNG https://t.co/Fpv0KYn4HE",224,587
#DOYOUNG,김뎡0,@doy0ungk,Sat Apr 17 06:43:58 +0000 2021,"Q: Do I like pineapples on my pizza?

then 
🐰: haha If it has pineapple on it, I’ll eat it haha 

now
🐰: Anti Hawaiian Pizza 

#DOYOUNG #도영 #ドヨン
@treasuremembers https://t.co/SJK5tmezsE",69,300
#DOYOUNG,ً,@uridoie,Sat Apr 17 06:13:15 +0000 2021,The amazing world of #DOYOUNG https://t.co/W6c1QhdZDK,131,229
#DOYOUNG,NCT 127,@NCTsmtown_127,Sat Apr 17 05:30:13 +0000 2021,"Unit Mission 📸
A cut &amp; Exclusive B cut

#TAEYONG #DOYOUNG
with #JUNGWOO

#Johntography
#THE_NEXT_NEO_MODEL
#NCT127 #NCT
#도전_네오모델_코리아 https://t.co/GVdL6BxCJh",54906,154165
#DOYOUNG,김뎡0,@doy0ungk,Sat Apr 17 03:37:04 +0000 2021,"#DOYOUNG’s 10 Questions &amp; Answers from Weverse 

#트레저 #도영 
@treasuremembers https://t.co/FxIHbzuUu0",296,722
#DOYOUNG,모치도비♡,@mochidobby,Sat Apr 17 03:36:50 +0000 2021,"doyoung's 10 questions and answers on  weverse post - a little fun fact check 📝

💬: message for weverse users?
🐰: you won't be able to get away from treasure's charms!

#트레저도영 #DOYOUNG #도영
@treasuremembers https://t.co/OJRIlY4bF0",36,134
#DOYOUNG,𝐤𝐝𝐲.,@doyounglobal,Sat Apr 17 01:55:37 +0000 2021,"#DOYOUNG 2021 Individual Boy Group Member Brand Reputation Ranking

#23 January
#36 February
#22 March
#50 April

Let's working hard everyone!! 

#도영 #NCT도영  #DOYOUNG
@NCTsmtown_127 
 https://t.co/cLIf7FVxtr",61,178
#DOYOUNG,NCT 127 Fan Union,@NCT127Union,Sat Apr 17 01:37:50 +0000 2021,"[INFO] 210417 April 2021 Individual Boy Group Brand Reputation Ranking 

18. #JAEHYUN
19. #MARK
20. #JUNGWOO
35. #HAECHAN
50. #DOYOUNG
58. #TAEYONG 

🔗https://t.co/RSTXf7Ex5R

#NCT127 @NCTsmtown_127 https://t.co/1evBYVNtgA",62,181
#DOYOUNG,SM_NCT,@SM_NCT_BACKUP,Sat Apr 17 01:11:33 +0000 2021,"[INFO] 210417 Boy Group Member Brand Reputation Ranking for April 2021:

18. #JAEHYUN
19. #MARK
20. #JUNGWOO
25. #JENO
32. #RENJUN
35. #HAECHAN
46. #JISUNG
50. #DOYOUNG
58. #TAEYONG
62. #JAEMIN

#NCT #NCT127 #NCTDREAM
https://t.co/Kv6PoQYkpu https://t.co/ck91XGrZwD",1731,4389
#DOYOUNG,⚜️,@kdyactor,Sat Apr 17 00:36:17 +0000 2021,"Still waiting on Viki but so far Cafe Midnight has been released on the following platforms: 

On Demand Korea
Amazon Prime
Roku
Tubi
IMDB 

#심야카페 #DOYOUNG #도영 https://t.co/ni1eRFrWll",47,152
