Hashtag	Username	User handle	Date of posting	Text	Retweet count	Like count
#GEICO500	Frontstretch	@Frontstretch	Mon Apr 26 15:30:00 +0000 2021	"What did we learn after yesterday's #GEICO500?

@Writer_Amy gives her take:

https://t.co/dO9BPMQCk1"	0	0
#GEICO500	Debris In Turn 3	@debrisinturn3	Mon Apr 26 15:02:06 +0000 2021	"Top 10 results after race 10 from @TALLADEGA the great equalizer

#NASCAR #Geico500 #TalladegaSuperSpeedway #Talladega #Dega #TheBigOne #NASCARCupSeries #NASCARRacing #AsphaltRacing #Fantrax #FantraxNASCAR #FantasyNASCAR #FantasyRacing #DebrisInTurn3 #DIT3 https://t.co/HsvsO5T1iz"	0	1
#GEICO500	JTG Daugherty Racing	@JTGRacing	Mon Apr 26 14:55:19 +0000 2021	"It was a @TALLADEGA kind of day. 🥴

@StenhouseJr | @NosEnergyDrink | @RyanPreece_ | @kroger | @reeses | #GetAfterIt | #GEICO500 https://t.co/PPMDBEnGC4"	3	16
#GEICO500	Roush Yates Engines	@roushyates	Mon Apr 26 14:46:29 +0000 2021	"Some @FordPerformance @Yates_Doug @TALLADEGA love in this week's Teardown. 

""The Yates' legacy is at @Daytona and Talladega, and it matters to do well there."" -@Jordan_Bianchi 

Thanks for the shout out! #NASCAR #GEICO500 https://t.co/MPjkH7q1ej"	0	1
#GEICO500	Jared Donahoe	@jreezy3	Mon Apr 26 14:38:42 +0000 2021	@DGodfatherMoody The Godfather putting in work yesterday! @TALLADEGA #GEICO500 #mrn https://t.co/0hcaYAib8h	0	1
#GEICO500	Matt Kaulig	@MattKaulig	Mon Apr 26 14:11:04 +0000 2021	Reporting from @TALLADEGA, what a great weekend for @KauligRacing! @JebBurtonRacing secured his first career @NASCAR Xfinity Series victory Saturday at the #AGPRO300 and @KazGrala finished 6th yesterday in the @NASCAR Cup Series at the #GEICO500! #TrophyHunting 🏆 https://t.co/aouN82A6GK	3	22
#GEICO500	Frontstretch	@Frontstretch	Mon Apr 26 14:00:02 +0000 2021	"ICYMI: @keselowski notched yet another #NASCAR Cup win at Talladega in yesterday's #GEICO500.

Full recap from @adamncheek 👇

https://t.co/lG6baMy515"	1	3
#GEICO500	Pin & Pole DFS	@PinDfs	Mon Apr 26 13:51:34 +0000 2021	@TRParker10 took down his first tourney on @superdraftdfs thanks in large part to a huge day from @KazGrala! Hoping this is the first of many! Follow us on Pin &amp; Pole to see if we can keep it up! #NASCAR #DFS #SuperDrafts #GEICO500 https://t.co/wAKR2k05vw	1	3
#GEICO500	🏁 LaLa Moore 🏁	@lalamoore_8	Mon Apr 26 13:49:29 +0000 2021	Rolling into work with about 4 1/2 hours of sleep 😴 with my @DirtyMoMedia T-shirt I picked up @TALLADEGA ‼️ Y’all got lots to talk about on the podcasts this week‼️ @SpotterBrett @Tjmajors @FreddieKraft @DaleJr  @MikeDavis88 #DirtyMo #DBC #DJD #GEICO500 #AgPro300 https://t.co/5Rrxr9oWFp	1	4
#GEICO500	DailyOverlay.com	@DailyOverlay	Mon Apr 26 13:13:59 +0000 2021	The results are in from the #GEICO500 and the top #DFS analyst this week was @FlurrySports. See how the rest of the analysts &amp; optimizers finished this week and for the season https://t.co/ThzW0v4iVs	0	0
