Hashtag	Username	User handle	Date of posting	Text	Retweet count	Like count
#marshelicopter	The Expanse Writers	@TheExpanseWR	Tue Apr 20 15:55:09 +0000 2021	I don’t know but we need to fix it. 😤😫 #MarsHelicopter #TheExpanse https://t.co/5IJqdrjwJo	4	107
#marshelicopter	The Weather Channel	@weatherchannel	Tue Apr 20 14:57:53 +0000 2021	"Yesterday, the #MarsHelicopter took flight. 

Now what? https://t.co/OZlpZQK9JU"	4	43
#marshelicopter	˹Anas Abdin˼ 🌿💦🐛	@AnasAbdin	Tue Apr 20 14:06:44 +0000 2021	🔴 Olympus Mons - 6 colors #Ingenuity #MarsHelicopter #pixelart #Space https://t.co/LWJOizHOn4	6	37
#marshelicopter	Masten Space Systems	@mastenspace	Tue Apr 20 13:45:04 +0000 2021	We can't get enough of this! Huge congrats to our friends at @NASAJPL. From the words of MiMi Aung, ""when things work, it looks easy."" #MarsHelicopter https://t.co/E53YBQsVLv	2	33
#marshelicopter	Yao-Yuan Mao	@yaoyuanmao	Tue Apr 20 13:35:15 +0000 2021	OK this is a cool badge to get.  I mean it is highly UNlikely that the actual code I contributed to @matplotlib was used by @NASA #MarsHelicopter..., but nonetheless I feel I did something useful😂 Thanks for the gesture @github! https://t.co/sSNC7OOdDg	0	37
#marshelicopter	The Epoch Times	@EpochTimes	Tue Apr 20 12:40:03 +0000 2021	#MarsHelicopter: #NASA’s miniature robot helicopter Ingenuity performed a successful takeoff and landing on #Mars early on Monday, achieving the first powered, controlled flight by an aircraft over the surface of another planet, @NASA said. https://t.co/4QtXYVuf86	16	75
#marshelicopter	Norédine Benazdia	@Benazdia	Tue Apr 20 12:37:51 +0000 2021	"Voici la vidéo du premier vol d'un appareil sur une autre planète !
#MarsHelicopter 

https://t.co/k1CmLlvzf3"	16	85
#marshelicopter	モフ子	@moffmiyazaki	Tue Apr 20 12:34:22 +0000 2021	"インジュニャティできたー♪
#MarsHelicopter #Perseverance https://t.co/el100150Kg"	87	253
#marshelicopter	ICAO	@icao	Tue Apr 20 12:28:40 +0000 2021	#MarsHelicopter: In support of its Organization-wide focus on innovation in #aviation, ICAO has presented @NASA and the @FAANews with official ICAO flight designator and call-sign codes for the ' #Ingenuity ' helicopter flight conducted on Mars! https://t.co/vZbjXvhOsb https://t.co/nF6GCkq7F0	19	45
#marshelicopter	CBS This Morning	@CBSThisMorning	Tue Apr 20 12:05:45 +0000 2021	"#NASA's Ingenuity #MarsHelicopter could make its second trip above Mars as early as Thursday. Monday's historic first flight came after years of work by @NASA engineers to overcome unprecedented challenges.

@JonVigliotti has more on the flight &amp; the future of space exploration. https://t.co/U4WqhWV1NX"	26	116
