Hashtag	Username	User handle	Date of posting	Text	Retweet count	Like count
#myanmar	Myanmar Now	@Myanmar_Now_Eng	Sun Apr 11 14:45:00 +0000 2021	The town of Kanyut Kwin, #Bago, has protesting daily against the military junta, including today (Apr 11). The protesters called for a federal democratic union and equal rights for all the ethnic groups in #Myanmar. #WhatsHappeningInMyanmar https://t.co/hUZSTxobtJ	305	373
#myanmar	Ro Nay San Lwin	@nslwin	Sun Apr 11 14:26:39 +0000 2021	"Kyauk Myaung, Tamwe, Yangon: 

Terrorists (#Myanmar security forces) abducted 6 civilians from Thadi Pahtan Street. They beat them up and took them away. 

#WhatsHappeninglnMyanmar #Apr11Coup #MilkTeaAlliance 

https://t.co/nIWVfeuVBD"	696	718
#myanmar	Poe Mamhe Thar	@poemamhethar	Sun Apr 11 14:25:25 +0000 2021	"📍Phal Khone
Let the stars shine on the ground
Let the days shine for #Myanmar 
#WhatsHappeningInMyanmar #Apr11Coup
#FlashStrike https://t.co/6Gfxea8hZh"	287	383
#myanmar	Ro Nay San Lwin	@nslwin	Sun Apr 11 14:07:36 +0000 2021	"Kyauk Myaung, Tamwe, Yangon: Just happened.

Terrorists (#Myanmar security forces) abducted 3 civilians from Zawtika Street. They were beaten and taken away. Watch another video in the thread. 

#Apr11Coup #WhatsHappeningInMyanmar #MilkTeaAlliance 1/2 https://t.co/TxObCuvYF6"	986	998
#myanmar	Poe Mamhe Thar	@poemamhethar	Sun Apr 11 13:34:05 +0000 2021	"Flash Strike on #Apr11Coup 🔦 at📍Mandalay. 

To notice us #Myanmar from any near, far or even the universe. 
Your helping hands would be the flashlight in our darkest hours.
@SchranerBurgen1 @RapporteurUn @DominicRaab @UN 
#WhatsHappeningInMyanmar https://t.co/jTwSAkshdk"	461	575
#myanmar	Shafiur Rahman	@shafiur	Sun Apr 11 12:17:41 +0000 2021	"#Myanmar 

ROUTINE BURIALS TERRORISED. 

- SAC junta ATTENDED Muslim burial in YANGON on Friday, April 9th. 
- DEMANDED body ( died from natural causes NOT PROTEST RELATED)
- When told burial done, they ARRESTED dozens of  funeral goers

#WhatsHappenigInMyanmar #MilkTeaAlliance"	1155	1247
#myanmar	Phil Robertson	@Reaproy	Sun Apr 11 11:51:49 +0000 2021	Speaking with the #BBC about military atrocities in the  attacks on protesters in #Bago, #Myanmar, and how the international community should react, recorded on April 10. #SaveMyanmar #WhatsHappeningInMyanmar @hrw   https://t.co/zS2Uwz6Azs via @YouTube	324	408
#myanmar	Breanna Randall	@randallbreanna	Sun Apr 11 11:32:20 +0000 2021	"If you know people who want to support the fight for freedom in #Myanmar, please direct them here: https://t.co/hHlnAhFeg4

There are several fundraisers to choose from, and all of them are vetted for legitimacy, and conducted to protect the security of recipients. https://t.co/Uu158nfRIo"	246	360
#myanmar	Ro Nay San Lwin	@nslwin	Sun Apr 11 11:22:56 +0000 2021	"Myitkyina, Kachin State:

At least 7 protesters abducted by Terrorists (#Myanmar security forces) during a crackdown on protesters in Rampu Ward.

#WhatsHappeningInMyanmar #Apr11Coup #MilkTeaAlliance"	1932	2078
#myanmar	maung zarni	@drzarni	Sun Apr 11 11:14:36 +0000 2021	For the last 59 years, the Tatmadaw or military - that has now morphed into a SAC Terrorist gang - has been killing #Myanmar's future, that is, YOUTH, STUDENTS, LABOURERS, FARMERS, ACTIVISTS, DOCTORS, TEACHERS, ENGINGEERS,  etc. https://t.co/9fZe6s2avm	247	266
