Hashtag	Username	User handle	Date of posting	Text	Retweet count	Like count
#GEICO500	Matt Kaulig	@MattKaulig	Mon Apr 26 14:11:04 +0000 2021	Reporting from @TALLADEGA, what a great weekend for @KauligRacing! @JebBurtonRacing secured his first career @NASCAR Xfinity Series victory Saturday at the #AGPRO300 and @KazGrala finished 6th yesterday in the @NASCAR Cup Series at the #GEICO500! #TrophyHunting 🏆 https://t.co/aouN82A6GK	4	29
#GEICO500	Talladega Superspeedway	@TALLADEGA	Mon Apr 26 01:39:46 +0000 2021	"𝒬𝓊𝒾𝑒𝓉 𝓉𝓇𝒶𝒸𝓀, 𝓣𝓪𝓵𝓵𝓪𝓭𝓮𝓰𝓪 

#GEICO500 | #AgPro300 | #GeneralTire200 https://t.co/tsv1uRPjyj"	87	809
#GEICO500	Barry Gadbois	@BarryGadbois	Mon Apr 26 01:37:47 +0000 2021	Revisiting the @joeylogano wreck, I'm struck by what an awesome job @ChaseBriscoe_14 did to not hit the overturned 22. So glad everyone walked away clean. #GEICO500 #TeamJL https://t.co/I5Yc2JFkFP	2	96
#GEICO500	Talladega Superspeedway	@TALLADEGA	Mon Apr 26 01:30:26 +0000 2021	"Saving the best for last: Brad @Keselowski surges to lead on final lap to win #GEICO500. 

📰: https://t.co/vRMNtc68yG https://t.co/TNDioyXqNP"	11	101
#GEICO500	Joseph Srigley	@joe_srigley	Mon Apr 26 00:55:40 +0000 2021	"𝗞𝗮𝘇 𝗚𝗿𝗮𝗹𝗮 𝗦𝘁𝗮𝘁 𝗧𝗵𝗿𝗲𝗮𝗱?? 𝗞𝗔𝗭 𝗚𝗥𝗔𝗟𝗔 𝗦𝗧𝗔𝗧 𝗧𝗛𝗥𝗘𝗔𝗗:

With his sixth-place run at @TALLADEGA, @KazGrala  earned a career-best for himself, but also earned the best finish for @KauligRacing in the NASCAR Cup Series.

#NASCAR | @NASCAR | #GEICO500 https://t.co/ZVXRE5NTxu"	2	42
#GEICO500	NASCAR	@NASCAR	Mon Apr 26 00:20:03 +0000 2021	"Join us as we hand out awards for some of the best performances in the #GEICO500 at @TALLADEGA 

#Oscars | #NASCAR https://t.co/SRePdTMYUs"	49	545
#GEICO500	Eric Estepp	@EricEstepp17	Mon Apr 26 00:01:23 +0000 2021	"Talladega reaction is uploading. It's a long one...

Gimme your Groovy Gauge scores 👇

#NASCAR | #GEICO500"	6	293
#GEICO500	NASCAR	@NASCAR	Sun Apr 25 23:42:53 +0000 2021	"NEWS: @keselowski's No. 2 car clears post-race inspection at @TALLADEGA. 

Today's #GEICO500 victory is official! https://t.co/eouoYDRw6E"	130	966
#GEICO500	Team Chevy	@TeamChevy	Sun Apr 25 23:29:03 +0000 2021	"The #GEICO500 wraps with a frenzied finish at @TALLADEGA. Here are the #TeamChevy drivers that avoided the fray to make the Top 10.

P2 - @WilliamByron 
P6 - @KazGrala 
P7 - @TylerReddick 
P8 - @austindillon3 https://t.co/tslKcdWXEs"	25	158
#GEICO500	Talladega Superspeedway	@TALLADEGA	Sun Apr 25 22:52:39 +0000 2021	"Family moments in victory lane 😊👨‍👩‍👧‍👧

@keselowski | #GEICO500 https://t.co/Pksl45Fwxo"	134	2119
#GEICO500	Michael Robinson	@RobinsonMikeD	Sun Apr 25 22:45:53 +0000 2021	"Congrats 2 @keselowski &amp; The #2Crew on winning the #GEICO500 in @Team_Penske @moneylionracing @FordPerformance @TALLADEGA! Number 6 at #ThisIsDega! 🏁🏁🏁🏁🏁🏁🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 Here are Travis, Addison &amp; Elliott w/ a Tribute Vic Pic!

#StephenElijahSume #MonthoftheMilitaryChild https://t.co/6umX4C2y5f"	4	56
#GEICO500	Talladega Superspeedway	@TALLADEGA	Sun Apr 25 22:36:30 +0000 2021	"He might be a six-time TALLADEGA winner, but it's @Keselowski's first time donning the Winner's Wreath in our new Victory Lane! 

@Team_Penske | #GEICO500 https://t.co/BoQxCAAnWE"	46	398
#GEICO500	CGR NASCAR Teams	@CGRnascar	Sun Apr 25 22:35:43 +0000 2021	"One heckuva fight at Dega 👊🏻

• The No. 1 @MonsterEnergy team thrashed to get back on track after issues with the oil cooler
• The No. 42 crew brought a bullet today, leading 12 laps and dicing it up with the leaders all day

Onto Kansas 👊🏻

#KB1 | #RC42 | #GEICO500 https://t.co/fO3CAxHKAj"	7	40
#GEICO500	Xfinity Racing	@XfinityRacing	Sun Apr 25 22:24:24 +0000 2021	"#ProInvitationalSeries 🏁
#GEICO500 🏁

@keselowski loves @TALLADEGA in any form. https://t.co/7MKuRlIxC8"	20	167
#GEICO500	Joseph Srigley	@joe_srigley	Sun Apr 25 22:21:21 +0000 2021	"Career-Best Finishes Today at @TALLADEGA:

P6: @KazGrala 
P11: @ChaseBriscoe_14 
P12: @anthonyalfredo 
P20: @HBurtonRacing (NCS Debut)

#NASCAR | @NASCAR | #GEICO500 https://t.co/fFfhRHafPH"	1	27
#GEICO500	Talladega Superspeedway	@TALLADEGA	Sun Apr 25 22:18:06 +0000 2021	Congratulations to @racingal_fl on winning a piece of #GEICO500 Victory Lane history! https://t.co/TutdlVkOHO	7	34
#GEICO500	The USA Truckers Community 🇺🇸	@TheUSATruckers	Sun Apr 25 22:17:33 +0000 2021	"Does your truck have one these?

#trucker #RestoreTheSnyderVerse #TruckDriver #GEICO500 #truck #BIGBANG https://t.co/FPMITH65Fb"	8	85
#GEICO500	Kaulig Racing	@KauligRacing	Sun Apr 25 22:05:47 +0000 2021	"Upon further review, our first @NASCAR Cup Series top-five finish will have to wait, officially P6.

Regardless... we're still SUPER proud of @KazGrala and the entire @Hyperice team for an excellent day at @TALLADEGA!

#Geico500 | #MoveBetter https://t.co/92ydJVMuuR"	7	120
#GEICO500	MoneyLion	@MoneyLion	Sun Apr 25 22:04:46 +0000 2021	"WE WON 'DEGA!!!

We'd like to congratulate our fierce @MoneyLion driver No. 2 Brad @Keselowski and @Team_Penske on winning the #GEICO500 at #Talladega! #HereWeRoar https://t.co/PVK2uvGNHW"	62	384
#GEICO500	Team Chevy	@TeamChevy	Sun Apr 25 22:04:43 +0000 2021	.@WilliamByron avoids the last lap melee and finishes the #GEICO500 in second at @TALLADEGA. https://t.co/GLNIJPmhy0	23	354
#GEICO500	CGR NASCAR Teams	@CGRnascar	Sun Apr 25 22:03:00 +0000 2021	"After a big hit coming to the checkered flag, @RossChastain had been evaluated and released from the @TALLADEGA care center 

#RC42 | #GEICO500"	7	37
#GEICO500	HBPRacing	@hbpRacing	Sun Apr 25 22:01:24 +0000 2021	"It is so good to see @KevinHarvick and the No.4 @StewartHaasRcng guys bring it home in 4th!
The @FordPerformance Mustangs were on 🔥 today!
@TALLADEGA 
#GEICO500 https://t.co/EqEOaUG9kn"	6	71
#GEICO500	Roush Yates Engines	@roushyates	Sun Apr 25 21:56:52 +0000 2021	Here’s another one! 👊 #NASCAR #GEICO500 https://t.co/MnYnF5K7RZ	6	36
#GEICO500	New Hampshire Motor Speedway	@NHMS	Sun Apr 25 21:56:43 +0000 2021	Brad @keselowski holds off the field @TALLADEGA for the win! 🏁 #GEICO500 https://t.co/KFW1jaLBPe	2	31
#GEICO500	Roush Yates Engines	@roushyates	Sun Apr 25 21:54:54 +0000 2021	".@keselowski gets it done in another thrilling @TALLADEGA finish! 🏁

1️⃣st Keselowski
3️⃣rd @Mc_Driver 
4️⃣th @KevinHarvick 
5️⃣th @mattdracing 
9️⃣th @Blaney 
🔟th @ColeCuster 

#NASCAR | #GEICO500 https://t.co/UBCK6eRBzo"	8	93
#GEICO500	NASCAR	@NASCAR	Sun Apr 25 21:54:41 +0000 2021	"The celebration is on at @TALLADEGA!  

Retweet to congratulate @keselowski on today’s victory in the #GEICO500! https://t.co/Vw4O8z75AC"	274	721
#GEICO500	🇺🇸𝙈𝙄𝘾𝙃𝘼𝙀𝙇 𝙋𝘼𝙇𝙈𝙀𝙍 🏁	@Mikey2082	Sun Apr 25 21:53:21 +0000 2021	"The best victory celebration in NASCAR.  🇺🇸🇺🇸🇺🇸

#NASCAR | #GEICO500 https://t.co/5VsChtrtZE"	4	51
#GEICO500	Talladega Superspeedway	@TALLADEGA	Sun Apr 25 21:53:14 +0000 2021	"Add Brad @keselowski to the list of SIX-TIME TALLADEGA WINNERS! 

He joins @JeffGordonWeb and @DaleJr with his win in the #GEICO500 🏁🏁🏁🏁🏁🏁 https://t.co/SiP2n7HD9s"	122	655
#GEICO500	Xfinity Racing	@XfinityRacing	Sun Apr 25 21:51:47 +0000 2021	"Bad Brad Burnout.

@keselowski | #GEICO500 https://t.co/hCZNTVUo5q"	22	93
