Hashtag,Username,User handle,Date of posting,Text,Retweet count,Like count
#ArmenianGenocide,Guy Verhofstadt,@guyverhofstadt,Sun Apr 25 14:21:46 +0000 2021,"Recognising the horrors of the past is a necessary part of ensuring they are never repeated. 

We recall the 1.5 million innocent lives taken by the #ArmenianGenocide &amp; say it clearly: Never Again.

https://t.co/IDQGXMfpC9",31,137
#ArmenianGenocide,Deborah E. Lipstadt,@deborahlipstadt,Sun Apr 25 14:19:24 +0000 2021,"""Who today speaks of the Armenians?"" Hitler (1939).  Even if he didn't say it, he knew it.  Countless murdered. Twenty years later: silence.  If Turkey could get away with it , why not Germany?  Bravo @POTUS for this long overdue action
#ArmenianGenocide  
https://t.co/DkqgK2yduU",15,46
#ArmenianGenocide,ASB News / MILITARY〽️,@ASBMilitary,Sun Apr 25 13:19:07 +0000 2021,Successfully appealed decision on 7 day suspension due to #ArmenianGenocide tweets. Never stay quiet when trying to be silenced. Twitter has shown fair process.,7,103
#ArmenianGenocide,@Hevallo,@Hevallo,Sun Apr 25 12:35:47 +0000 2021,".@JoeBiden It's great US recognises the #ArmenianGenocide after 106 years!? But on the day that Turkey is now committing genocide against the Kurds it could be interpreted as disingenuous or worse, if you don't speak out against the Kurdish genocide too!?  #TwitterKurds https://t.co/CSsNAGTF1g",30,42
#ArmenianGenocide,David Bequette,@dbequette,Sun Apr 25 12:08:31 +0000 2021,So Mikes at a loss for words. Another great outcome for @POTUS recognition of the #ArmenianGenocide - one less apologist for the terrorist states of Azerbaijan &amp; Turkey making noise. At least for a little while... https://t.co/XJcCwmALyt,5,35
#ArmenianGenocide,Ara Aivazian,@Aivazian_Ara,Sun Apr 25 11:58:05 +0000 2021,"Good discussion w/ Cyprus MoD @PetridesCh on #Armenia-#Cyprus political dialogue. Expressed gratitude to the Minister for visiting Armenia to participate in the rememberance ceremony of #ArmenianGenocide, as a bright expression of friendship &amp; solidarity btw 🇦🇲-🇨🇾 peoples. https://t.co/5Fr36eHhgd",26,60
#ArmenianGenocide,David al-Turki,@MedWhiteAcolyte,Sun Apr 25 10:17:03 +0000 2021,"St. Tsar Nicholas II ordered the Russian soldiers to evacuate Armenians from modern day Turkey during war, saving a quarter of the Armenian population

https://t.co/slvj06l67p

If the modern state of Armenia exists today, it's thanks to St. Nicholas II.

#ArmenianGenocide",12,43
#ArmenianGenocide,Jim Mellas,@jimmellas,Sun Apr 25 09:13:50 +0000 2021,"The #ArmenianGenocide  recognition is only the first step. They still illegally occupy #Cyprus, attacked #Artsakh &amp; the this US Commission of International Religious Freedom raises concerns about the state built via Genocide https://t.co/8CE8Gp1KZT  #GreekGenocide @ANCaustralia https://t.co/nRxcLLQ6pJ",15,52
#ArmenianGenocide,Colin Brazier,@colinbrazierGBN,Sun Apr 25 09:03:54 +0000 2021,"America now formally recognises the Armenian genocide. When will Britain?
#ArmenianGenocide 
https://t.co/PqrcOP9NdR",6,35
#ArmenianGenocide,sezata,@s_e_z_i_n,Sun Apr 25 08:35:48 +0000 2021,"So called #ArmenianGenocide was finally brought forward by Pres. 
Biden -  who promised to surface this topic during his campaign to get a few more votes.. 😡 Historians  should be discussing historical events-not politicians..

#ArmenianLies https://t.co/ji48EXXVfN",27,62
