Hashtag,Username,User handle,Date of posting,Text,Retweet count,Like count
#supermoon,Jamal 🌙 | Anisha 🌝,@asstheticssss,Tue Apr 27 17:49:01 +0000 2021,"moon today 🌚
#FullMoon #Supermoon https://t.co/tF1Z94v5Zv",19,84
#supermoon,Ron Sullivan,@CornerPubRon,Tue Apr 27 17:31:28 +0000 2021,"I took a pic of last nights Super Moon! The level of detail was amazing!!!

#supermoon2021 #Supermoon https://t.co/NR1SPoomeh",1,25
#supermoon,Doreen Kiani,@DoreenKiani,Tue Apr 27 16:37:43 +0000 2021,#supermoon over #Islamabad🇵🇰 https://t.co/wnRiDDGBQp,2,38
#supermoon,TomasinoWeb,@TomasinoWeb,Tue Apr 27 15:55:07 +0000 2021,"The #supermoon viewed tonight, Apr. 27 from Bacoor, Cavite.

(Photo by Corinne Vizconde/TomasinoWeb) https://t.co/zWIek9FvrO",27,105
#supermoon,Ujwal Puri,@ompsyram,Tue Apr 27 15:41:22 +0000 2021,Magical Moonrise #mumbai #supermoon #fullmoon #HanumanJayanti #pinkmoon https://t.co/ChgQMa4w1I,6,42
#supermoon,"People's Daily, China",@PDChina,Tue Apr 27 15:20:00 +0000 2021,Did you catch the Pink Supermoon of 2021 on Monday night? Here is the surreal moment when the #supermoon came out from the clouds! https://t.co/1M2924QHzD,9,40
#supermoon,मुंबई Matters™✳️,@mumbaimatterz,Tue Apr 27 15:14:09 +0000 2021,"Super Moon 2021 

In case you missed it...

Enjoy the beauty of the 
#Supermoon over 
#AamchiMumbai

#pinkmoon #mumbai  https://t.co/MaFNW90tS5

Thanks 📸@ompsyram",4,71
#supermoon,Rejimon Kuttappan,@rejitweets,Tue Apr 27 15:04:07 +0000 2021,First #PinkMoon #supermoon of 2021 shot in my Nikon D7000 a few minutes ago from my terrace. https://t.co/OOuntWoN94,3,36
#supermoon,Arnel Pineda,@arnelpineda,Tue Apr 27 14:51:17 +0000 2021,"#Selfie #SuperMoon 
alone with the moon
atone as you croon
about your despair
let the moon be your pair
as you breath your last breathe
pray hard its peaceful
wish hard its old school
respected,not despised 
retained,not revised 
and oh yeah
w/ your eyes
and your soul
wide open https://t.co/tc0zpIZira",3,45
#supermoon,BlogMickey.com,@Blog_Mickey,Tue Apr 27 14:50:06 +0000 2021,Monorail Black and the #Supermoon at Walt Disney World earlier this morning https://t.co/omgzSyUTw7,26,419
